No,Title,Date,Image URL
"77","Prabowo Minta Tak Ada Kenaikan Harga Tak Masuk Akal Jelang Ramadhan","28 Februari 2025","https://asset.kompas.com/crops/5me-ocQJkVLIBlWcINVM5nfy7BE=/0x0:0x0/235x132/data/photo/2025/02/28/67c0f8299d904.jpg"
"78","Periksa Hasto, KPK Dalami Peran Harun Masiku dan Donny Tri Istiqomah","28 Februari 2025","https://asset.kompas.com/crops/4p3CZ6Jtww-y4UPHJF5Ed0DfuwA=/0x0:0x0/235x132/data/photo/2025/02/27/67c007ea4af95.jpg"
"79","Gandeng 30 Dubes, Masjid Istiqlal Gelar Kampung Ramadhan Internasional","28 Februari 2025","https://asset.kompas.com/crops/Tzto4bNakWG3FqXVqyWO-uFAz8w=/0x0:0x0/235x132/data/photo/2025/02/28/67c16a6be3d49.jpeg"
"80","Prabowo Kerap Bersama SBY dan Jokowi, Golkar: Ingin Tunjukkan Dukungan Presiden Terdahulu","28 Februari 2025","https://asset.kompas.com/crops/zwqXXLbX24MKrZ0wCIHbw51u1as=/0x0:0x0/235x132/data/photo/2025/02/28/67c1527bd0cfe.jpg"
"81","Kasasi Ditolak, Eks Mentan SYL Tetap Dihukum 12 Tahun Bui","28 Februari 2025","https://asset.kompas.com/crops/rK0Nn4XtITDyznA3_6hEtt-szOo=/0x0:1000x667/235x132/data/photo/2024/07/05/6687f1c4208fa.jpg"
"82","Masjid Istiqlal Siapkan 4.000 Boks Makanan Gratis untuk Buka Puasa Selama Ramadhan 2025","28 Februari 2025","https://asset.kompas.com/crops/Tzto4bNakWG3FqXVqyWO-uFAz8w=/0x0:0x0/235x132/data/photo/2025/02/28/67c16a6be3d49.jpeg"
"83","Tak Berlaku untuk TNI-Polri, Berikut Jam Kerja ASN pada Bulan Ramadhan","28 Februari 2025","https://asset.kompas.com/crops/HeATXLvASwc4uDbnDUrsL7S_G9c=/0x0:1200x800/235x132/data/photo/2022/05/09/6278b6a799c57.jpg"
"84","Lagi, Puan Sebut Megawati-Prabowo Akan Segera Bertemu","28 Februari 2025","https://asset.kompas.com/crops/RKc7xvRH0UF7HoEpYLpwvpvPpNw=/53x198:2784x2019/235x132/data/photo/2019/07/24/5d3836064b34c.jpg"
"85","Prabowo Shalat Jumat di Tenda Ibadah Peserta Retreat Sebelum Bertolak ke Jakarta","28 Februari 2025","https://asset.kompas.com/crops/2XN-_pHawICVvwWHe6FDsSu-udo=/0x0:0x0/235x132/data/photo/2025/02/28/67c1620fea469.jpg"
"86","Momen Prabowo, Jokowi, dan SBY Kompak Nyanyi Bareng Pakai Seragam Loreng","28 Februari 2025","https://asset.kompas.com/crops/L55q_QUppy7Sj5mMfQSQv2Dy0PM=/0x0:0x0/235x132/data/photo/2025/02/28/67c1644fa035f.jpg"
"87","Puan Bertemu SBY, Jokowi, dan Prabowo, Gerindra: Persatuan Itu Indah","28 Februari 2025","https://asset.kompas.com/crops/zwqXXLbX24MKrZ0wCIHbw51u1as=/0x0:0x0/235x132/data/photo/2025/02/28/67c1527bd0cfe.jpg"
"88","Tak Hadiri Upacara Parade Senja, Megawati Disebut Titip Pesan untuk Prabowo","28 Februari 2025","https://asset.kompas.com/crops/zwqXXLbX24MKrZ0wCIHbw51u1as=/0x0:0x0/235x132/data/photo/2025/02/28/67c1527bd0cfe.jpg"
"89","Ombudsman: Korupsi Pertamina Bukti Kegagalan Tata Kelola Pengadaan Barang/Jasa","28 Februari 2025","https://asset.kompas.com/crops/l6jaNGBvozJTlQ1fO2bBT6r121g=/0x0:0x0/235x132/data/photo/2024/06/10/6666d783ba94b.jpeg"
"90","Puan Ungkap Perbincangan Prabowo, Jokowi, dan SBY Saat Bertemu di Akmil Magelang","28 Februari 2025","https://asset.kompas.com/crops/zwqXXLbX24MKrZ0wCIHbw51u1as=/0x0:0x0/235x132/data/photo/2025/02/28/67c1527bd0cfe.jpg"
"91","Menolak Praktik Dwifungsi ABRI","28 Februari 2025","https://asset.kompas.com/crops/lOBf4LAEjTVhwzrXVdqJHl8BfZ4=/0x0:797x531/235x132/data/photo/2018/02/27/3992341628.jpg"
"92","Megawati Kirim Pesan ke Prabowo soal Retreat Kepala Daerah di Magelang","28 Februari 2025","https://asset.kompas.com/crops/zwqXXLbX24MKrZ0wCIHbw51u1as=/0x0:0x0/235x132/data/photo/2025/02/28/67c1527bd0cfe.jpg"
"93","Kejagung Akan Periksa Pejabat Teknis Pertamina Patra Niaga Terkait Kasus Korupsi Minyak Mentah","28 Februari 2025","https://asset.kompas.com/crops/6QhRVOy2ZiE7WG8EWRZJkUx_bkc=/0x0:0x0/235x132/data/photo/2025/02/28/67c14966832dd.jpg"
"94","Kantor PT OTM yang Diduga Oplos Pertamax Masih Beroperasi Saat Digeledah Kejagung","28 Februari 2025","https://asset.kompas.com/crops/6QhRVOy2ZiE7WG8EWRZJkUx_bkc=/0x0:0x0/235x132/data/photo/2025/02/28/67c14966832dd.jpg"
"95","Mendagri Peringatkan Kepala Daerah Bisa Diberhentikan meski Dipilih Rakyat","28 Februari 2025","https://asset.kompas.com/crops/mYvzerxGXoSk9BH1OHUzGjeujYA=/0x0:0x0/235x132/data/photo/2025/02/22/67b9738a0de10.jpg"
"96","KPK Belum Pindahkan 11 Unit Mobil yang Disita dari Ketum PP Japto Soerjosoemarno","28 Februari 2025","https://asset.kompas.com/crops/iSnEwqL1N7qOx5DbvRGhwt9edRk=/0x0:0x0/235x132/data/photo/2024/12/27/676e85a14f7c7.jpg"
